                           N             E             V      SN      SE      SV
P294 2009.5743        -2.090        -0.619        -3.967   0.989   0.800   3.202
P294 2013.8289         0.082        -0.352         5.620   0.951   0.764   3.076
P294 2016.9117         1.118        -1.123        -4.892   0.859   0.707   2.765
P294 2019.5099         1.591        -5.061        -3.922   0.952   0.787   3.068
P295 2004.3669        -6.835        -6.198        -4.773   1.726   1.472   6.011
P295 2004.9801        -1.783        -5.999        -7.158   1.188   1.009   4.113
P295 2010.9678         1.203         1.143        -2.652   0.895   0.742   3.045
P295 2013.8042         1.584         1.440         5.558   0.780   0.645   2.649
P295 2017.0075         2.806         1.867        -5.025   0.779   0.663   2.641
P295 2019.0938         2.711        -0.641        -4.052   0.854   0.732   2.901
P296 2013.8289         0.870         0.433         7.743   0.835   0.684   2.747
P296 2016.9117         2.243        -0.099        -2.264   0.736   0.619   2.413
P296 2019.5099         1.164        -5.515        -3.322   0.951   0.807   3.123
P297 2006.2806         1.575        -3.925        -1.841   1.543   1.317   5.351
P297 2007.0116         3.728        -2.560         0.671   1.163   1.001   4.099
P297 2008.8734         3.489        -1.400        -3.542   0.928   0.787   3.247
P297 2010.9569         1.056         1.855        -3.084   0.974   0.821   3.381
P297 2017.0322         0.783         0.103        -9.771   0.952   0.818   3.284
P297 2018.9733         0.791         0.490        -4.165   1.213   1.055   4.186
P297 2019.5099        -0.289        -4.024        -1.050   1.319   1.143   4.549
P298 2010.0479        -1.483        -1.294        -3.947   0.959   0.782   3.149
P298 2013.5058         0.759        -0.617         6.531   0.878   0.712   2.888
P298 2016.0823        -5.328         0.634        -1.391   0.878   0.723   2.874
P298 2019.5154         1.587        -6.382        -4.655   1.022   0.845   3.331
P300 2005.3717        -3.540        -4.331        -0.216   1.557   1.263   5.151
P300 2006.2751        -4.581        -5.003         1.817   1.229   1.006   4.174
P300 2007.5784         2.750         3.059         2.103   1.210   0.998   4.128
P300 2008.4463         3.471         5.394         2.084   1.308   1.062   4.419
P300 2011.2033        -3.667        -4.124        -0.939   1.232   0.993   4.046
P300 2012.6023         3.304         6.483         2.237   1.175   0.940   3.877
P300 2013.4237         4.160         9.737         2.065   1.241   0.990   4.102
P300 2014.3354         3.570         7.163         1.363   1.203   0.961   3.969
P300 2015.3183         2.666         7.206        -0.981   1.161   0.938   3.815
P300 2016.3915         4.222         5.519        -2.171   1.288   1.061   4.225
P300 2017.0020        -0.929        -5.098        -5.209   1.496   1.251   4.887
P300 2017.4620        -3.824        -6.209         2.610   1.689   1.406   5.521
P300 2017.8756        -6.869        -6.269         2.386   1.408   1.160   4.600
P300 2019.5619        -1.766        -9.261        -7.197   1.152   0.947   3.781
P301 2010.0534        -0.531         0.525        -5.300   0.951   0.759   3.095
P301 2013.7002         0.348         0.359         4.870   0.852   0.676   2.763
P301 2017.0020         2.076        -1.206        -7.226   0.821   0.667   2.646
P301 2019.0965         2.172        -2.221        -4.385   0.898   0.733   2.901
P302 2005.3498        -2.110        -5.269         0.806   1.582   1.275   5.136
P302 2006.3491        -2.492        -5.353         4.400   1.249   1.005   4.071
P302 2008.4490         0.692         2.180         0.143   1.245   0.993   4.079
P302 2009.3799        -0.418         1.699        -5.593   1.315   1.057   4.343
P302 2010.1602        -1.655        -3.710        -2.768   1.245   1.008   4.107
P302 2011.1430        -1.240        -4.310        -3.265   1.391   1.109   4.548
P302 2011.6304        -1.205        -2.474         6.385   1.363   1.087   4.464
P302 2013.5770         0.245         4.984        -0.561   1.183   0.944   3.870
P302 2015.3101         1.214         1.970        -4.334   1.162   0.934   3.794
P302 2017.0322         1.452        -3.823        -9.696   1.307   1.086   4.239
P302 2017.5222        -3.060        -7.342         2.897   1.357   1.127   4.390
P302 2018.9268         0.512        -4.708        -0.942   1.256   1.033   4.051
P302 2019.5318        -0.343        -6.759        -1.484   1.754   1.428   5.624
P302 2019.8302        -1.614        -2.840        -7.208   1.733   1.408   5.562
P303 2006.3545        -2.112        -1.563        20.168   1.472   1.211   4.903
P303 2007.1266         0.442         1.505        15.514   1.330   1.107   4.473
P303 2008.2820        -1.329        -0.287         7.562   1.109   0.894   3.656
P303 2010.2861        -1.943        -1.429         5.607   1.132   0.911   3.728
P303 2011.2443        -0.604         0.311         9.513   1.310   1.050   4.330
P303 2011.8576         0.895         0.899         8.042   1.289   1.034   4.273
P303 2014.5927         1.104         0.495       -14.198   1.605   1.290   5.387
P303 2014.9240         0.290        -1.485       -11.616   1.880   1.506   6.228
P303 2015.3374         0.118         1.297       -12.509   1.666   1.343   5.465
P303 2015.8385         0.492        -0.848       -13.020   1.489   1.218   4.938
P303 2016.4955         0.268        -0.333        -8.561   1.710   1.418   5.676
P303 2016.8131         0.393        -0.633       -14.960   1.554   1.289   5.162
P303 2018.9706         2.221        -1.430        -5.433   1.103   0.901   3.629
P304 2005.9329        -0.203        -1.304         8.986   1.412   1.137   4.524
P304 2006.3655        -0.974         1.611        10.316   1.571   1.278   5.072
P304 2007.0500         0.685         1.508         7.015   1.544   1.269   5.001
P304 2007.4634        -1.867         1.266        -7.606   1.473   1.203   4.742
P304 2008.4025        -1.827         0.708        -9.904   1.194   0.959   3.854
P304 2009.4237        -4.978        -1.401       -14.980   1.168   0.941   3.771
P304 2011.6386         0.248        -1.802        14.052   1.147   0.921   3.690
P304 2012.5010        -7.976        -1.912       -12.129   1.199   0.955   3.851
P304 2013.3689        -3.283         1.000       -19.091   1.213   0.965   3.911
P304 2014.2204        -0.105         1.804       -13.138   1.545   1.223   4.991
P304 2014.5927        -0.009         2.070       -14.547   1.591   1.264   5.129
P304 2015.3374        -0.481         2.347       -18.985   1.263   1.018   4.060
P304 2016.1752         1.849         1.614       -12.945   1.562   1.297   5.025
P304 2016.4983        -1.037        -0.499       -16.215   1.582   1.321   5.073
P304 2017.2895         2.825         0.411         7.463   1.384   1.151   4.432
P304 2017.7769         2.259         3.027         6.632   1.331   1.104   4.279
P305 2006.0014        -0.677        -1.014        -4.318   1.492   1.189   4.925
P305 2010.0725        -0.466        -0.779        -7.237   1.169   0.928   3.867
P305 2010.9733         0.573         0.759        -5.032   1.104   0.874   3.644
P305 2013.6016        -0.064         0.339         4.882   1.001   0.789   3.331
P305 2015.9781         1.308        -0.341        -5.759   1.063   0.856   3.524
P305 2017.0294         1.191        -0.596        -9.640   1.037   0.846   3.435
P305 2019.0746         3.899         1.863        -5.673   1.086   0.888   3.618
P306 2010.0698        -1.751         0.101        -6.137   1.112   0.908   3.710
P306 2010.9760         0.179         0.516        -7.024   1.081   0.882   3.617
P306 2013.5058        -0.399        -0.032         6.349   1.022   0.837   3.461
P306 2016.9144         3.626        -1.099       -12.034   0.985   0.822   3.271
P306 2019.0308         1.165        -0.197        -6.176   0.969   0.806   3.176
P307 2007.0500        -1.120        -0.296        14.873   1.317   1.058   4.512
P307 2007.9808        -0.606         1.038        14.882   1.363   1.081   4.635
P307 2009.9274        -0.459        -0.085        10.198   1.433   1.133   4.863
P307 2011.8960        -1.366         1.206        11.112   1.370   1.078   4.706
P307 2013.4483         0.811        -0.385        -7.611   1.557   1.236   5.465
P307 2013.9411        -1.229        -0.035         7.826   1.774   1.402   6.156
P307 2014.4942         0.453        -0.747       -15.441   1.515   1.201   5.190
P307 2015.5099        -0.233        -1.387       -18.891   1.554   1.274   5.336
P307 2016.5174         1.050        -0.286       -19.630   1.528   1.260   5.220
P307 2017.4647        -0.906        -0.180       -23.238   1.348   1.112   4.616
P307 2018.4613        -0.470        -0.078       -17.296   2.046   1.631   6.820
P307 2018.7023         1.269         0.256       -11.178   2.090   1.656   6.932
P307 2019.5181         1.100        -2.769       -24.112   1.422   1.144   4.811
P308 2010.9843        -1.528         0.234        -8.300   1.399   1.166   5.123
P308 2011.6632         0.033        -0.582        10.248   1.217   1.009   4.456
P308 2013.6099        -0.262         1.362         9.629   1.081   0.902   3.933
P308 2017.0048         0.397        -0.419       -14.464   1.420   1.254   5.215
P308 2017.4237        -0.555        -0.200         6.645   1.423   1.257   5.216
P309 2010.0725        -1.587         0.545        -8.331   1.093   0.866   3.560
P309 2013.4894        -0.084        -3.270         2.894   0.975   0.767   3.171
P309 2015.6661         5.793        -2.643        -1.467   1.552   1.221   4.985
P309 2015.9781         1.648         0.363        -6.378   1.645   1.302   5.275
P309 2017.0294         0.323         0.073        -9.825   1.042   0.841   3.348
P309 2019.0965         1.456        -0.216        -5.310   0.954   0.770   3.080
P310 2010.1492        -1.422        -1.344        -8.652   1.120   0.922   3.789
P310 2013.6099         0.057         0.840         4.263   1.026   0.852   3.558
P310 2015.9808        -0.176        -0.646        -6.602   1.045   0.896   3.735
P310 2017.0048         0.328        -0.001       -15.053   1.471   1.290   5.356
P310 2017.4182        -0.405        -0.550         5.660   1.418   1.247   5.175
P310 2019.0390         1.271        -0.045        -7.674   1.019   0.894   3.761
P311 2010.1383        -1.536        -0.960        -5.012   1.029   0.820   3.256
P311 2011.6632         0.402         0.530         5.624   1.247   0.977   3.917
P311 2012.2409        -3.276        -0.812         1.649   1.298   1.020   4.077
P311 2015.9781         1.436        -1.019        -4.267   1.164   0.946   3.665
P311 2017.0048        -0.458        -2.182       -11.400   1.368   1.136   4.308
P311 2017.4456         1.605         2.748         6.762   1.911   1.589   6.020
P311 2017.6865        -2.003        -0.928         7.601   1.679   1.391   5.285
P311 2019.0938        -0.358        -0.959        -7.622   1.271   1.045   4.022
P311 2019.6194        -4.577        -0.200         8.543   1.341   1.104   4.249
P312 2015.3321         3.246        -5.238        -8.377   1.667   1.320   7.781
P312 2016.0630         2.265         0.235       -11.423   2.164   1.752  10.443
P312 2016.6680        -6.889        -4.662        42.813   4.539   3.597  23.089
P312 2016.7994         4.354         0.204       -29.842   6.372   5.019  32.873
P312 2017.0789         3.621         3.546       -18.333   4.942   3.890  25.562
P312 2018.6502         2.138         3.011         3.401   2.651   1.967  13.907
P312 2019.1430        -2.320        10.652        25.947   4.690   3.516  24.971
P312 2019.3073         2.354        -8.723       -15.130   6.322   4.779  34.058
P312 2019.4168         0.645        -4.653       -10.907   5.165   3.897  27.919
P313 2009.4620        -2.267        -1.656        -2.537   0.997   0.761   3.257
P313 2015.9533         0.848        -0.411        -6.206   1.361   1.040   4.870
P313 2016.7912         1.347        -0.122        -9.410   1.640   1.277   6.121
P313 2017.9818         0.595         0.368        -4.208   3.262   2.624  12.883
P313 2018.5544         3.170        -5.928        -0.804   3.227   2.591  12.718
P313 2019.4278         1.770        -0.265        -6.665   1.717   1.297   6.436
P314 2013.7960        -0.588         0.940         3.836   0.774   0.592   2.389
P314 2016.8925        -0.278        -0.954        -4.377   0.760   0.596   2.336
P314 2018.7817        -0.210         3.086         3.171   0.843   0.666   2.589
P315 2009.2211        -1.057        -1.696        -5.380   1.066   0.843   3.687
P315 2015.9535         1.101         0.024        -8.263   1.044   0.823   3.602
P315 2019.4006         4.755        -2.851         0.318   1.281   1.040   4.399
P316 2010.0890        -3.535        -1.139         0.925   1.292   1.020   4.540
P316 2013.5414        -2.954         3.820        -0.617   1.482   1.083   5.266
P316 2014.2396        -8.521         5.117         0.291   2.423   1.741   9.001
P316 2014.5942         7.115        -7.173        -0.180   2.210   1.596   8.303
P316 2016.3559         2.827         0.607       -13.439   1.421   1.101   5.354
P316 2017.1253        -3.311        -0.116         8.721   1.412   1.114   5.315
P317 2013.4045        -1.465         0.130         3.282   1.009   0.746   3.925
P317 2015.9423         1.528         0.962        -3.632   0.938   0.708   3.689
P318 2008.2355         0.727        -2.421         1.536   0.920   0.736   3.064
P318 2011.6222        -1.345        -0.210         3.819   0.802   0.618   2.507
P318 2013.4976        -1.637         1.095         5.930   0.894   0.685   2.795
P319 2007.4853        -1.583         0.956         5.293   0.891   0.704   2.937
P319 2010.0862        -4.424         0.914        -6.160   1.000   0.782   3.282
P319 2015.8932         2.293        -0.611        -7.514   1.135   0.902   3.723
P319 2016.9117         2.494        -0.815        -4.644   1.191   0.957   3.902
P319 2018.9788         3.223        -0.183        -3.950   1.213   0.979   3.979
P320 2013.5578        -1.674         0.856         7.607   1.099   0.782   3.628
P321 2016.8845         2.404        -1.108        -5.645   0.954   0.880   4.061
P322 2010.0835        -2.497         1.802        -3.706   0.917   0.701   2.889
P322 2013.5332        -1.302         1.325         6.379   0.951   0.722   2.975
P324 2010.0342        -2.631         2.623        -3.862   1.056   0.808   3.279
P324 2013.4730        -1.058        -2.219         4.175   1.169   0.875   3.624
P324 2014.1903        -1.601         4.331         0.736   1.363   1.017   4.219
P324 2014.9459         0.241         1.068        -5.588   1.164   0.879   3.596
P324 2016.9338         0.489        -0.227        -4.062   1.036   0.804   3.210
P325 2010.0780        -2.839         0.263        -3.889   1.088   0.829   3.358
P325 2014.1875        -1.416         5.039        -0.767   1.043   0.792   3.225
P325 2016.8843         0.841         1.397        -7.788   1.027   0.794   3.183
P325 2019.3239         6.493        -8.654        -0.167   0.998   0.777   3.059
P326 2010.0589        -3.946         3.436        -3.968   1.001   0.780   3.335
P326 2013.4976        -0.387        -1.750         4.589   1.204   0.917   4.027
P326 2014.1903        -1.606         6.694        -2.457   1.238   0.944   4.144
P326 2015.9206        -0.253         0.994        -6.533   1.037   0.812   3.467
P327 2010.0233        -2.587         3.690        -7.888   1.313   1.008   4.229
P327 2014.8255        -1.091         4.466        -6.277   1.281   0.984   4.111
P327 2016.9144         1.210         0.783        -7.698   1.105   0.867   3.586
P327 2019.0582         2.136         0.476        -3.292   1.245   0.988   4.066
P329 2013.5003        -1.596        -0.354         6.333   0.962   0.733   2.955
P329 2015.9618         1.357         0.545        -5.036   0.939   0.731   2.879
P329 2017.5222        -0.936        -2.154         1.863   1.073   0.847   3.274
P329 2018.4942         0.504        -1.580         1.554   0.987   0.777   3.005
P330 2013.4045        -0.657         0.266         6.223   0.934   0.709   2.848
P330 2016.8843         1.900         0.960        -9.421   1.222   0.955   3.702
P330 2017.3799        -0.324        -2.261         7.227   1.239   0.972   3.753
P331 2013.4976        -0.583        -1.625         8.408   1.106   0.829   3.387
P331 2014.2204        -0.445         3.887        -1.571   1.097   0.822   3.360
P332 2010.7406         2.587         4.672        -2.207   1.038   0.789   3.239
P332 2013.5003        -0.490        -1.786         5.369   1.170   0.870   3.625
P332 2014.1903        -1.159         3.435        -1.837   1.167   0.869   3.613
P332 2016.8953         0.868        -0.053        -7.675   0.902   0.695   2.788
P332 2020.1836         5.892        -5.167        -1.562   1.630   1.269   5.029
P333 2013.5086        -2.020         0.875         7.163   0.903   0.728   3.076
P334 2010.8830         0.528         1.571        -1.043   1.669   1.313   5.182
P334 2013.8179        -0.296         4.489         6.314   1.142   0.890   3.561
P334 2015.9918         2.051         0.171        -6.125   1.387   1.095   4.306
P334 2019.0145         1.911         1.567        -1.648   1.364   1.090   4.211
P335 2014.4778        -2.214         0.499         3.933   0.954   0.730   3.010
P336 2010.0534        -0.807         1.369        -4.194   0.918   0.711   2.860
P336 2017.1802         0.897         0.174        -8.104   0.974   0.768   3.014
P336 2020.3314         5.606        -2.993        -3.766   2.148   1.693   6.645
P337 2013.4976        -1.342        -2.372         2.031   1.016   0.822   3.545
P337 2016.9336         2.885         0.695        -8.435   1.139   0.951   4.052
P337 2017.6372        -4.740        -6.139        13.482   1.821   1.463   5.992
P337 2018.9788         3.226         0.628        -1.884   1.625   1.282   5.126
P338 2010.0753         0.025         0.572        -9.996   1.008   0.774   3.198
P338 2015.9726         0.361         1.576        -7.586   1.126   0.881   3.566
P338 2016.9144         0.307         0.120        -7.001   1.093   0.864   3.455
P338 2019.1239         0.892        -0.237        -7.057   0.995   0.788   3.143
P338 2020.2272         5.224         0.713         0.441   1.792   1.413   5.663
P339 2013.5962        -0.323         0.150         5.755   0.946   0.732   2.999
P339 2016.8843         1.440         0.278        -7.457   0.915   0.721   2.897
P339 2020.3231         6.515        -3.707         0.941   2.073   1.633   6.496
P340 2011.2361        -9.463         3.676        -0.823   1.395   1.089   6.656
P340 2014.5654         7.057         3.174         2.140   1.250   0.976   5.966
P340 2016.1697        -4.485         1.010        -6.957   1.314   1.073   6.316
P340 2017.1061       -18.717         6.326       -10.025   1.341   1.104   6.463
P341 2010.0643        -0.161         0.984        -9.406   1.031   0.776   3.364
P341 2015.9781         0.161         0.943       -10.146   1.075   0.822   3.465
P341 2016.9446         0.569         0.372        -6.485   1.077   0.836   3.470
P341 2018.5435         3.060        -4.262        -3.744   0.996   0.767   3.184
P343 2008.3340        -1.030        -1.217         6.426   1.107   0.849   3.397
P343 2010.0808        -2.219         0.534        -3.898   1.037   0.785   3.143
P343 2011.8166        -0.005        -1.225         6.680   1.004   0.758   3.033
P343 2013.4976        -0.231        -1.321         6.002   1.163   0.870   3.529
P343 2014.1903        -1.074         3.419         1.737   1.203   0.904   3.653
P344 2010.0698        -0.951         0.678        -8.150   0.975   0.753   3.062
P344 2015.9781        -0.016         0.353        -6.092   1.055   0.828   3.304
P344 2016.8871         0.735         0.462        -7.474   1.016   0.805   3.176
P344 2018.9541         3.943         3.350        -5.205   0.895   0.711   2.791
P345 2010.0920        -0.607         0.783        -7.923   1.035   0.801   3.373
P345 2015.9781         0.424         0.064        -7.888   1.201   0.957   3.941
P345 2016.8953         0.448         0.010        -7.555   1.167   0.941   3.842
P345 2019.1239         1.417        -0.305        -8.078   1.395   1.143   4.642
P345 2019.5618         8.283        -1.677         0.442   1.559   1.273   5.199
P346 2013.6153         1.126         2.939        11.339   0.909   0.685   2.800
P347 2013.6126         0.539         1.276         5.996   0.985   0.734   3.001
P347 2016.0630         0.571         0.093        -6.944   0.941   0.713   2.857
P347 2019.1266         0.763         0.509        -6.064   1.225   0.943   3.731
P347 2019.7262         2.102         2.299         1.115   1.436   1.100   4.372
P348 2013.6126        -0.312         0.961         6.007   0.851   0.642   2.610
P348 2017.0623        -4.407        12.195        64.770   4.451   3.474  13.976
P348 2017.0951         4.371       -11.514       -72.370   4.453   3.477  13.981
P349 2009.1554         1.247        -0.792        -7.450   1.196   0.995   4.327
P349 2010.1273         0.500        -0.984       -12.699   1.327   1.099   4.750
P349 2011.0062         1.860         0.035        -9.587   1.253   1.033   4.496
P349 2014.9459         0.873         0.189        -8.980   1.432   1.209   5.352
P349 2015.4962        -1.446         0.470         3.373   1.672   1.413   6.220
P349 2016.0520         3.479        -1.032       -16.542   1.496   1.268   5.505
P349 2016.8953         1.482        -0.383       -13.958   1.165   1.002   4.304
P349 2019.1266         2.426        -1.393       -15.038   1.073   0.916   3.921
P351 2017.1812         1.989        -5.439        43.668   2.412   1.854   7.345
P351 2017.3114         0.878        -2.906        54.547   5.683   4.399  17.682
P351 2017.3388        -1.419         8.237      -102.188   5.248   4.064  16.371
P352 2016.9309         1.008         0.923        -8.432   1.046   0.814   3.217
P353 2016.9254         0.494         0.041        -5.467   0.846   0.626   2.474
P354 2016.9254         0.374        -0.178        -5.033   0.769   0.581   2.294
P355 2016.9254         0.610         0.767        -4.940   0.873   0.663   2.629
P356 2012.4627        -1.830         1.048         8.790   1.027   0.745   3.480
P357 2017.0048         1.244         0.379        -6.393   0.849   0.648   2.608
P358 2014.1383        -2.968        -1.951        -0.116   1.012   0.755   2.944
P358 2016.9199         0.585        -0.660        -6.168   1.038   0.782   3.017
P359 2012.4736         0.021         0.514         4.606   0.979   0.721   2.841
P359 2017.2539         1.341         0.702        -4.016   0.911   0.681   2.626
P360 2008.1410        -0.911         1.817        -2.141   0.829   0.613   2.399
P360 2012.4709        -0.263        -0.152         5.613   0.895   0.660   2.602
P360 2020.1725         6.348        -3.368        -1.190   1.619   1.215   4.710
P361 2008.5615         9.068        -2.471        -5.066   1.255   0.929   3.590
P361 2009.3853        -8.338        -1.652        -0.352   1.194   0.887   3.441
P361 2010.7161        -4.805         3.188        -0.461   1.030   0.775   3.013
P361 2017.1417         0.020         0.773        -8.637   0.986   0.753   2.878
P361 2019.1951         1.419        -5.111        -3.645   0.989   0.754   2.896
P362 2011.5565         0.127        -1.875         4.485   0.862   0.667   2.671
P362 2013.4976        -0.119        -1.851         3.641   1.057   0.806   3.276
P362 2014.3819        -2.642        -1.633         1.977   1.080   0.826   3.349
P363 2011.6715         2.108         0.644         3.466   1.128   0.858   3.610
P363 2013.5907        -0.761        -1.294         3.798   1.115   0.843   3.567
P364 2015.4990        -1.708        -2.129         2.796   1.467   1.100   4.469
P364 2015.8905         2.848        -0.359        -2.648   1.579   1.188   4.794
P364 2016.8788         3.528         0.761        -1.053   0.984   0.745   2.962
P365 2014.1738        -2.256        -1.313         2.077   0.913   0.671   2.703
P366 2010.2231        -3.805        -4.085         3.144   1.584   1.190   5.159
P366 2010.8583         1.233         2.634        -2.774   1.577   1.186   5.154
P366 2012.3614        -1.390        -1.961         3.444   1.165   0.869   3.657
P366 2014.1574        -4.027        -4.068         4.976   1.225   0.901   3.821
P366 2016.1369        -1.374        -2.675        -3.578   1.459   1.083   4.494
P366 2019.5236        -2.326        -4.960         6.003   1.283   0.956   3.851
P367 2018.6584         5.101         3.905         1.078   0.802   0.596   2.329
P368 2010.1300        -2.108        -2.050        -1.875   0.968   0.726   2.938
P368 2013.5168        -2.334        -2.201         3.394   0.909   0.679   2.751
P368 2015.9452        -1.790        -1.048        -5.157   0.960   0.725   2.906
P369 2016.0767         0.523        -1.228        -6.651   0.832   0.616   2.755
P371 2014.4695        -1.378        -0.979         2.111   0.869   0.657   2.726
P371 2019.1650         3.257         1.245        -4.575   0.876   0.679   2.733
P372 2016.9254         1.106         0.091        -3.486   0.817   0.600   2.408
P373 2008.0493         1.708         4.134        -1.347   0.805   0.599   2.436
P373 2019.3648         3.823        -1.172        -4.198   0.948   0.719   2.857
P374 2009.6673        -2.597        -2.812        -3.138   0.977   0.701   2.991
P374 2016.3806        -1.595        -2.387        -4.737   1.087   0.779   3.356
P375 2016.4079        -4.996         1.416        -6.478   1.356   1.012   3.995
P375 2016.8788         2.242         1.398        -1.695   1.325   0.992   3.898
P376 2005.9001        -0.733        -3.026        -3.187   1.002   0.733   2.988
P376 2019.3347        -2.612         0.737         2.862   0.929   0.679   2.738
P377 2018.6584         1.680         2.597         1.962   1.229   0.911   3.773
P377 2019.3785         2.316        -4.681        -7.467   1.395   1.032   4.248
P378 2018.9651         2.488         1.904        -0.006   0.861   0.640   2.518
P380 2005.8097         1.543         1.039        -4.009   1.322   0.995   3.951
P380 2010.1656        -2.083        -1.447        -2.228   0.983   0.752   2.976
P380 2013.6071        -1.597        -0.089         3.174   0.898   0.684   2.717
P380 2015.9808        -1.045        -0.932        -4.443   1.258   0.978   3.798
P380 2016.4955        -3.866         2.059        -3.335   1.282   1.003   3.867
P381 2015.9808         0.226        -2.275        -3.981   0.871   0.639   2.563
P382 2015.9810         0.109        -0.343        -5.645   1.000   0.833   4.042
P383 2009.3990        -0.368         2.602         1.184   0.880   0.644   2.580
P384 2013.5195        -0.022        -3.712         3.815   0.947   0.691   2.782
P385 2008.0849         2.603         0.523       107.521   4.254   3.036  12.922
P385 2008.1369       -41.026         1.421        60.826   7.338   5.152  22.006
P385 2008.1588        14.807         3.312       -58.675   8.099   5.651  24.077
P385 2008.1889        19.079         1.570       -62.941   6.794   4.744  20.627
P385 2008.3176         4.367        -7.613       -48.083   4.292   2.993  13.492
P385 2015.9754         0.381        -0.177        -6.790   0.987   0.690   2.932
P386 2016.9144         4.127        -0.506        -3.292   0.830   0.610   2.426
P387 2008.0493        -4.322         6.232        -4.102   0.998   0.755   3.071
P387 2016.5806         3.142        -5.918        -4.301   0.885   0.673   2.712
P388 2018.8528         6.973        -0.061         0.355   0.810   0.613   2.438
P389 2008.0657       -14.501         1.503        -0.868   1.787   1.365   5.363
P389 2016.5806         6.083        -0.645        -5.589   0.840   0.628   2.486
P390 2010.5748         2.205        -1.147        -2.536   0.966   0.732   2.959
P390 2017.0595         1.137        -0.485        -7.379   1.017   0.786   3.110
P391 2016.9173         1.525        -0.634        -6.914   1.080   0.813   3.189
P392 2010.9979        -0.092         1.524        -3.380   1.087   0.801   3.226
P392 2011.8576         0.766         0.418         6.483   1.135   0.836   3.371
P392 2017.0048         1.876         0.866        -3.248   1.008   0.761   2.976
P392 2018.9788         2.254         1.420         0.348   0.970   0.735   2.868
P393 2010.0671        -1.062        -0.631        -3.528   0.976   0.723   2.865
P393 2016.9228         1.012        -0.809        -5.874   1.170   0.876   3.428
P394 2011.6359        -0.109        -0.486         5.056   0.955   0.692   2.763
P394 2017.9055         2.527         0.705        -0.826   0.899   0.664   2.589
P395 2016.1451        -1.810        -6.397        -0.883   0.965   0.623   2.950
P397 2008.0301         0.750         1.714        -1.074   1.479   1.041   4.452
P397 2009.6126        -1.271        -7.428         3.170   1.390   0.969   4.088
P397 2011.5729        -0.795        -4.706         5.639   1.387   0.960   4.112
P397 2013.3114        -0.950        -3.301         4.552   1.346   0.922   3.999
P397 2014.4504        -2.283        -5.131         4.875   1.360   0.928   4.067
P397 2016.1259        -0.808        -5.228         3.195   1.400   0.971   4.244
P397 2016.9199         0.936        -0.154        -2.840   1.379   0.964   4.202
P397 2018.1711        -0.490        -5.099         6.291   1.329   0.928   4.044
P397 2019.3239         3.550        -7.525         2.704   1.350   0.944   4.074
P398 2016.9144         1.625         0.108        -2.930   0.816   0.581   2.358
P400 2009.7933        -2.373        -3.022        10.883   1.362   1.513   6.021
P401 2013.5825        -2.088         1.867         2.781   0.877   0.615   2.489
P401 2019.4252         2.272         6.097        -5.880   0.984   0.707   2.794
P402 2011.6331         0.443        -0.808         4.794   1.630   1.152   4.948
P402 2012.0931        -4.749        -3.784        -3.560   1.682   1.187   5.085
P402 2013.5825        -1.596         0.676         2.485   1.029   0.724   2.980
P402 2019.4718         4.123        -2.044        -0.322   1.341   0.945   3.816
P403 2006.9595         6.065         4.593        -5.071   1.223   0.845   3.601
P403 2013.6427        -2.340         0.852         4.928   1.081   0.774   3.428
P403 2018.3682        -0.721        -1.568         7.757   1.330   0.983   4.378
P403 2019.0281         2.088         2.642        -1.485   1.438   1.072   4.772
P404 2019.9671         3.239         0.544         1.828   1.304   0.999   3.984
P405 2011.5537        -0.079        -1.493         3.823   1.029   0.741   2.934
P405 2016.1451        -0.849        -2.823         2.722   0.946   0.689   2.697
P405 2019.0719         2.992         1.426        -0.388   0.938   0.688   2.663
P406 2005.9001        -2.011        -2.313        -3.186   1.564   1.125   4.567
P406 2009.6673        -1.977        -2.441        -0.857   0.913   0.660   2.678
P406 2016.9199         3.041        -0.199        -2.491   0.893   0.656   2.612
P407 2006.7324         2.077         4.010        -1.648   1.419   1.080   4.870
P407 2018.0123         1.839        -2.872         0.664   0.885   0.690   3.010
P408 2007.8823         2.431         1.935        -4.499   0.904   0.651   2.629
P408 2009.5989        -2.176        -2.059         3.387   0.917   0.661   2.682
P408 2020.0082         3.524         1.987        -1.784   1.467   1.099   4.390
P410 2009.5168        -0.478        -4.485        -1.525   1.294   0.934   3.831
P410 2014.4723        -2.147         1.329         2.927   1.044   0.768   3.100
P410 2015.9014        -1.102         0.010        -6.129   1.023   0.759   3.046
P411 2007.9179         1.917         2.777        -1.783   1.024   0.738   3.211
P411 2018.4586         1.812        -2.571         1.769   0.910   0.659   2.850
P412 2009.6427        -1.280        -2.516        -1.935   0.999   0.721   2.916
P412 2014.0452         2.227        -2.077         3.951   1.009   0.726   2.968
P412 2016.1341        -2.454        -2.042        -4.844   0.977   0.709   2.849
P414 2006.8528         1.074         0.794        -4.255   1.417   1.024   4.117
P414 2009.6372        -1.125        -2.756        -3.759   0.933   0.671   2.709
P414 2016.1369        -1.056        -3.280        -5.976   0.954   0.693   2.754
P415 2008.0328         1.392         4.622        -3.986   1.068   0.760   3.138
P415 2012.8925        -0.425         2.988        -2.279   1.431   1.008   4.215
P415 2013.4483        -4.763        -6.997         5.781   1.401   0.987   4.126
P415 2016.8788         1.277         2.348        -3.467   0.968   0.704   2.903
