                           N             E             V      SN      SE      SV
AB48 2013.2594       -11.184        -2.762         7.493   2.951   1.861   8.502
AB48 2013.5852       -10.638        -2.913         4.413   2.229   1.409   6.509
AB48 2014.4613       -10.068        -2.610         3.405   1.589   1.014   4.702
AB48 2015.4552        -7.771        -1.967         0.566   1.538   0.983   4.603
AB48 2016.5394        -6.075        -1.657         3.020   1.540   0.996   4.637
AB48 2017.5387        -4.965        -1.011         0.393   1.513   0.994   4.565
AB48 2018.5818        -3.865        -0.662         1.164   1.393   0.914   4.176
AB49 2007.5455         1.256        -2.784         3.923   1.205   0.864   3.500
AB49 2009.4512        -2.344        -7.996         7.139   1.374   0.970   3.981
AB49 2012.3888        -1.538        -4.689         4.136   1.475   1.056   4.430
AB49 2013.0157       -18.642        41.866       -14.983   1.972   1.395   5.860
AB49 2013.4018        -7.552        -1.215        11.357   2.300   1.626   7.138
AB49 2013.8152         1.869         6.544       -11.240   2.174   1.528   6.926
AB49 2014.3628        -6.320        -4.510        13.036   2.268   1.594   7.654
AB49 2014.8063         2.906         5.859       -13.308   2.343   1.660   8.191
AB49 2015.3210        -3.772        -4.076        11.882   2.993   2.108  10.865
AB49 2015.5318         5.354        12.325       -24.828   2.668   1.877   9.739
AB49 2017.7029        -1.648         3.689         3.973   1.228   0.872   3.567
AB50 2006.8693         0.328         1.361       -13.468   1.561   1.117   5.445
AB50 2007.5455         2.789         0.367         4.758   1.933   1.382   6.754
AB50 2008.0356         0.723         1.889        -8.845   1.841   1.309   6.428
AB50 2008.9062         1.785         0.663       -13.476   1.738   1.230   6.030
AB50 2009.5168         1.049        -0.763         7.602   1.756   1.253   6.144
AB50 2010.9322         2.358         1.757        -6.806   1.457   1.056   5.114
AB50 2011.9726         1.754         0.671       -15.314   1.362   0.992   4.735
AB50 2013.0130        -9.334        -0.601        -4.760   1.751   1.260   6.019
AB50 2013.4784        -2.421        -0.253         5.151   1.731   1.241   5.945
