                       N               E               V      SN      SE      SV
AGMT VEL          -3.045         -18.562          -0.705   0.154   0.128   0.508
AHID POS    42.773118248  -111.063742897     1975529.318   0.438   0.337   1.358
AHID VEL          -8.779         -15.274          -1.509   0.091   0.070   0.285
AIRA POS    31.824058989   130.599596709      314654.075   0.674   0.743   3.938
AIRA VEL         -18.737          23.786           0.752   0.156   0.144   0.687
AIS1 POS    55.069070862  -131.599538439       32275.711   8.777   5.953  26.420
AIS1 VEL         -10.764         -12.220           0.584   0.234   0.152   0.670
AIS2 POS    55.068881740  -131.599213897       32196.668  10.906   7.156  31.516
AIS2 VEL         -11.047         -13.078          -0.363   0.627   0.412   1.809
AJAC POS    41.927459639     8.762618363       98758.418   1.181   0.947   3.586
AJAC VEL          16.113          21.100          -0.040   0.125   0.099   0.384
ALAC POS    38.338922791    -0.481225989       60315.206   0.570   0.473   1.820
ALAC VEL          16.772          20.025          -0.407   0.147   0.123   0.488
ALAM POS    37.357957160  -115.158461011     1090009.633   1.772   1.505   6.203
ALAM VEL          -9.059         -15.763          -0.665   0.146   0.124   0.512
ALBH POS    48.389780114  -123.487471994       31759.918   0.408   0.287   1.168
ALBH VEL          -8.000          -7.730           0.375   0.079   0.055   0.233
ALGO POS    45.955800675   -78.071371287      200954.861   0.377   0.278   1.124
ALGO VEL           2.578         -16.622           3.006   0.069   0.052   0.211
ALIC POS   -23.670110131   133.885521661      603236.335   0.356   0.356   1.453
ALIC VEL          59.194          31.949          -0.674   0.064   0.063   0.263
ALME POS    36.852536385    -2.459443497      127485.905   0.425   0.362   1.412
ALME VEL          16.628          18.824          -0.007   0.076   0.065   0.254
ALON POS    31.707938838    34.606648570       55685.433   0.457   0.406   1.712
ALON VEL          19.481          22.694           0.357   0.095   0.085   0.359
ALPP POS    34.824491487  -118.694803485      918098.261   0.490   0.412   1.690
ALPP VEL           6.464         -27.909           1.225   0.054   0.045   0.186
ALRT POS    82.494294811   -62.340485953       78220.882   0.567   0.508   3.485
ALRT VEL           6.602         -22.125           5.335   0.182   0.163   1.113
AMC2 POS    38.803123639  -104.524596307     1911381.977   0.624   0.504   2.049
AMC2 VEL          -5.716         -14.508          -0.544   0.125   0.100   0.408
AML5 POS    35.153561773  -101.878466937     1098139.089   4.778   4.337  19.046
AML5 VEL          -4.962         -12.859           1.532   0.236   0.214   0.949
ANA1 POS    34.015007595  -119.363474803       22420.505   0.540   0.445   1.825
ANA1 VEL          22.241         -40.650          -1.237   0.213   0.175   0.721
ANKR POS    39.887372720    32.758470147      975998.428   0.607   0.485   1.967
ANKR VEL          12.128           1.107          -1.798   0.179   0.141   0.588
ANTO POS    29.491210678   -98.576644048      263861.909   7.067   6.906  30.853
ANTO VEL          -3.106         -11.484           1.264   0.357   0.347   1.550
AOA1 POS    34.157445722  -118.830322623      246527.527   4.957   4.528  19.828
AOA1 VEL          18.656         -39.663          -1.692   0.344   0.315   1.379
AOML POS    25.734692056   -80.162200682         100.642   3.883   4.226  17.292
AOML VEL           3.346         -10.116           0.409   0.231   0.250   1.026
APEX POS    36.319117696  -114.931791191      761059.606   3.505   2.896  12.808
APEX VEL          -8.524         -14.955           1.120   0.271   0.224   0.992
AQUI POS    42.368241525    13.350252344      712978.351   0.641   0.499   2.045
AQUI VEL          16.604          20.371           0.186   0.135   0.106   0.429
AR27 POS    33.341849526  -117.324933328       32295.710   0.730   0.623   2.454
AR27 VEL          17.071         -38.167          -2.245   0.193   0.163   0.648
AR53 POS    33.381136276  -117.476507855      111031.022   0.725   0.629   2.461
AR53 VEL          17.372         -38.141          -2.172   0.193   0.165   0.652
AREL POS    32.102364716    35.209278021      706283.350   5.901   5.348  23.176
AREL VEL          20.394          22.495           1.492   0.451   0.408   1.769
AREQ POS   -16.465515536   -71.492795944     2488923.608   0.439   0.494   1.864
AREQ VEL          12.381           6.274           0.021   0.126   0.146   0.535
AREV POS   -16.465515545   -71.492795982     2488925.006   1.350   1.532   5.600
AREV VEL          12.497           6.803           0.180   0.327   0.376   1.353
ARGU POS    36.050010302  -117.521946574     1791339.653   2.283   1.907   8.439
ARGU VEL          -3.851         -18.906          -0.098   0.187   0.156   0.692
ARL5 POS    32.759032653   -97.060286225      142816.054   9.335   8.637  37.357
ARL5 VEL          -3.461         -13.756          -0.101   0.508   0.469   2.033
ARLI POS    48.174066007  -122.141861322       23311.848   0.936   0.666   2.766
ARLI VEL          -8.983          -9.921          -1.523   0.091   0.065   0.264
ARM1 POS    35.201251808  -118.910426804       76417.296   1.350   1.161   4.419
ARM1 VEL           2.154         -28.472         -17.680   0.531   0.426   1.865
ARM2 POS    35.201259531  -118.910561675       76409.246   0.749   0.635   2.529
ARM2 VEL           4.199         -26.210         -12.195   0.505   0.421   1.715
ARMI POS     6.062429159    37.560854424     1199956.656   2.037   2.465   9.387
ARMI VEL          19.004          26.555          -3.083   0.284   0.348   1.305
ARP3 POS    27.838351143   -97.058960390      -16648.866   4.649   4.745  19.415
ARP3 VEL          -4.101         -13.647          -2.098   0.298   0.305   1.241
ARTU POS    56.429822396    58.560462917      247568.784   0.429   0.291   1.274
ARTU VEL           6.286          25.093           0.359   0.086   0.058   0.251
ASBU POS    43.820564461  -121.368507967     1508858.135   0.686   0.519   2.314
ASBU VEL          -7.722         -13.332          -1.500   0.141   0.104   0.465
ASC1 POS    -7.951212039   -14.412073135      105104.267   2.191   2.551   9.796
ASC1 VEL          11.256          -5.320          -0.643   0.116   0.134   0.522
ASHM POS    36.345919599  -116.139379054      885721.331   3.002   2.445   9.910
ASHM VEL          -8.360         -15.205          -0.292   0.280   0.228   0.924
ASHV POS    35.599454998   -82.546206867      659179.513   4.044   3.519  14.747
ASHV VEL           2.324         -13.719           0.852   0.208   0.181   0.760
ASKY POS    75.726129518   -58.257355926      687467.503   0.489   0.392   2.194
