                       N               E               V      SN      SE      SV
P282 VEL           8.293         -26.180           2.277   0.221   0.178   0.741
P283 POS    35.806669949  -120.285259246      434204.261   0.847   0.707   2.898
P283 VEL           8.160         -26.403           0.451   0.172   0.140   0.594
P284 POS    35.933262185  -120.906848917      512217.883   0.428   0.354   1.384
P284 VEL          21.065         -38.728          -0.984   0.098   0.079   0.321
P285 POS    36.417179502  -120.981484465      805749.857   0.629   0.519   2.018
P285 VEL           2.224         -23.234           3.168   0.140   0.113   0.459
P286 POS    36.515908566  -120.853059100      538829.238   1.206   0.974   3.925
P286 VEL          -0.196         -22.027          -0.281   0.156   0.124   0.517
P287 POS    36.024836925  -120.697836323      609754.600   0.632   0.508   2.038
P287 VEL          21.363         -39.330           0.248   0.223   0.179   0.730
P288 POS    36.140208692  -120.878906285      397716.963   0.465   0.388   1.526
P288 VEL          21.996         -39.906          -0.125   0.129   0.106   0.423
P289 POS    36.106843616  -120.748820679      540657.038   0.452   0.374   1.446
P289 VEL          21.737         -39.776          -0.038   0.125   0.102   0.402
P290 POS    36.178938929  -120.728255345      987758.905   0.741   0.614   2.378
P290 VEL           0.106         -21.375           0.657   0.157   0.127   0.504
P291 POS    35.922778948  -120.644775404      661361.546   0.746   0.621   2.425
P291 VEL          21.214         -37.307           0.331   0.156   0.126   0.510
P292 POS    36.007464307  -120.475278792     1018619.816   0.755   0.696   3.065
P292 VEL           6.884         -21.962           2.251   0.243   0.204   0.890
P293 POS    36.089364263  -120.542996271      538864.604   0.915   0.756   2.934
P293 VEL           2.719         -21.690           0.995   0.110   0.090   0.357
P294 POS    36.123236299  -120.439885045      509408.926   0.745   0.617   2.402
P294 VEL           2.493         -20.778           1.932   0.212   0.172   0.688
P295 POS    35.697079100  -120.842387804      583487.334   0.628   0.539   2.138
P295 VEL          21.374         -39.088           1.170   0.161   0.134   0.547
P296 POS    36.051655108  -120.363564240      265329.636   0.795   0.675   2.614
P296 VEL           3.172         -21.116           1.312   0.131   0.109   0.432
P297 POS    35.974087677  -120.551862416      629304.780   0.781   0.672   2.685
P297 VEL          19.776         -35.757           2.065   0.177   0.150   0.611
P298 POS    36.015842280  -120.294061937      323252.321   0.825   0.684   2.689
P298 VEL           3.390         -21.123           2.005   0.206   0.169   0.676
P300 POS    36.304427203  -120.276983341      137281.432   0.789   0.653   2.589
P300 VEL           0.419         -21.049          -0.415   0.459   0.372   1.525
P301 POS    36.806290933  -120.743055930       89221.574   0.666   0.545   2.155
P301 VEL          -1.968         -21.454           0.881   0.180   0.144   0.585
P302 POS    36.634727198  -120.618578340      122631.205   0.974   0.802   3.164
P302 VEL          -0.428         -18.567          -0.544   0.470   0.377   1.533
P303 POS    37.054382993  -120.705298803       -2161.779   0.656   0.540   2.147
P303 VEL          -1.488         -22.170         -29.689   0.396   0.318   1.307
P304 POS    36.739004045  -120.356601935       16974.307   0.591   0.486   1.909
P304 VEL          -1.089         -23.625         -10.375   0.423   0.346   1.365
P305 POS    37.352213849  -120.196761807       96059.467   0.820   0.675   2.745
P305 VEL          -2.540         -22.342           3.114   0.274   0.219   0.911
P306 POS    37.795166777  -120.644461597       82513.930   0.678   0.564   2.211
P306 VEL          -2.668         -23.007           2.074   0.261   0.216   0.876
P307 POS    36.947269980  -120.057923001       49034.803   0.911   0.738   3.108
P307 VEL          -0.266         -25.059         -28.365   0.585   0.464   1.997
P308 POS    37.901150369  -119.840201698     1501861.391   0.586   0.510   2.163
P308 VEL          -2.239         -22.553          -0.545   0.295   0.251   1.078
P309 POS    38.089989978  -120.951240723       41399.461   0.664   0.537   2.146
P309 VEL          -3.065         -22.907           1.347   0.249   0.198   0.813
P310 POS    38.735606687  -120.334340311     1791315.877   0.694   0.617   2.632
P310 VEL          -3.358         -22.138           1.475   0.265   0.220   0.903
P311 POS    37.177562504  -118.519804011     3698647.423   0.817   0.670   2.577
P311 VEL          -2.273         -20.101           0.371   0.332   0.266   1.046
P312 POS    39.529179694  -123.698379549      254889.269   1.674   1.219   9.093
P312 VEL          12.458         -34.855          -2.667   0.138   0.110   0.572
P313 POS    39.554289282  -123.564549644      651730.832   1.314   0.984   5.008
P313 VEL          10.114         -33.896          -1.021   0.178   0.135   0.595
P314 POS    39.685664499  -123.581853057     1251924.798   0.590   0.466   1.815
P314 VEL           7.572         -34.652          -1.434   0.097   0.075   0.300
P315 POS    39.863583628  -123.716901044      257930.084   1.106   0.899   3.788
P315 VEL           8.383         -33.467           0.906   0.166   0.131   0.574
P316 POS    41.559132692  -124.086146020      234962.393   0.779   0.616   2.811
P316 VEL          -1.471         -12.952          -1.072   0.303   0.238   1.069
P317 POS    39.905670242  -123.551854367     1118653.627   0.555   0.424   2.220
P317 VEL           2.187         -29.739          -1.006   0.153   0.115   0.588
P318 POS    39.452369433  -123.371857625      594935.252   0.515   0.404   1.607
P318 VEL           3.273         -30.164          -2.787   0.140   0.108   0.437
P319 POS    39.707096534  -123.295082966      513042.192   0.878   0.712   2.885
P319 VEL          -2.660         -29.940           2.859   0.187   0.147   0.614
P320 POS    39.492826969  -123.186789295      392424.523   0.637   0.464   2.086
P320 VEL           2.364         -29.487          -1.417   0.164   0.117   0.539
P321 POS    39.897220423  -123.394950792     1133657.646   0.539   0.505   2.304
P321 VEL           3.530         -26.987          -0.833   0.121   0.111   0.514
P322 POS    39.962143386  -123.182484642     1433920.997   0.619   0.484   1.924
P322 VEL          -3.999         -23.475          -0.795   0.154   0.118   0.479
P324 POS    40.256837846  -123.655740469      509355.034   0.528   0.412   1.640
P324 VEL           2.359         -23.365           0.223   0.241   0.186   0.750
P325 POS    41.151669789  -123.882608780      914572.040   0.728   0.566   2.206
P325 VEL          -1.484         -13.044           2.851   0.249   0.190   0.769
P326 POS    40.575313560  -123.698932874     1261690.758   0.543   0.431   1.820
P326 VEL          -2.165         -18.478           1.189   0.218   0.171   0.729
P327 POS    40.478860039  -123.573067075      710067.815   0.934   0.742   3.054
P327 VEL          -3.023         -20.494           2.223   0.293   0.225   0.944
P329 POS    40.082214329  -123.452049600     1034617.840   0.560   0.440   1.708
P329 VEL           0.494         -26.003          -0.603   0.184   0.141   0.564
P330 POS    40.324068350  -123.135584695     1653006.098   0.522   0.408   1.582
P330 VEL          -4.466         -21.142          -0.744   0.165   0.126   0.504
P331 POS    40.732913864  -123.324145462     1541980.369   0.548   0.425   1.673
P331 VEL          -3.877         -18.226          -0.941   0.143   0.109   0.438
P332 POS    40.546649985  -123.174506968      684486.840   1.520   1.185   4.689
P332 VEL          -4.315         -20.095           0.202   0.208   0.159   0.647
P333 POS    39.621380594  -122.975757085     2008830.842   0.505   0.421   1.745
P333 VEL          -3.526         -23.967          -1.287   0.127   0.103   0.437
P334 POS    39.493591469  -122.735874768     1936230.987   0.987   0.793   3.046
P334 VEL          -4.625         -23.407          -0.101   0.381   0.300   1.184
P335 POS    39.726189440  -122.873640262     2229484.516   0.515   0.401   1.615
P335 VEL          -3.915         -23.098          -1.172   0.140   0.108   0.442
P336 POS    39.528079509  -122.430486931      286715.706   2.038   1.604   6.302
P336 VEL          -4.967         -22.352           0.730   0.153   0.119   0.475
P337 POS    40.296188307  -122.868807739     1193320.176   0.645   0.514   2.030
P337 VEL          -4.787         -20.921          -0.710   0.177   0.143   0.611
P338 POS    40.747552483  -122.923031477      672209.024   1.609   1.266   5.083
P338 VEL          -4.833         -19.307           1.849   0.170   0.131   0.541
P339 POS    40.034110138  -122.668252758      979561.689   1.991   1.566   6.230
P339 VEL          -4.964         -21.757          -0.095   0.156   0.121   0.492
P340 POS    39.409338184  -123.049826155      864706.537   0.717   0.584   3.484
P340 VEL          -5.449         -24.430          -1.866   0.340   0.267   1.628
P341 POS    40.650655678  -122.606903173      406829.469   0.686   0.523   2.172
P341 VEL          -5.159         -20.133           1.692   0.171   0.129   0.555
P343 POS    40.887127651  -123.334212844     1617465.596   0.708   0.549   2.137
P343 VEL          -3.414         -17.234          -1.615   0.204   0.156   0.615
P344 POS    39.929122589  -122.027974821       49749.077   0.632   0.504   1.969
P344 VEL          -4.866         -22.295           1.209   0.172   0.133   0.540
P345 POS    40.271233929  -122.270809559      134062.149   0.909   0.733   3.027
P345 VEL          -5.184         -21.485           1.518   0.170   0.132   0.553
P346 POS    39.794709326  -120.867466978     2037337.807   0.503   0.389   1.548
P346 VEL          -4.474         -22.206          -1.634   0.135   0.102   0.415
P347 POS    41.183342565  -120.948464377     1268810.295   0.949   0.722   2.880
P347 VEL          -6.805         -18.357          -0.647   0.182   0.137   0.555
P348 POS    40.905545182  -121.828005899     1668055.650   0.486   0.377   1.480
P348 VEL          -6.129         -19.629          -0.576   0.122   0.093   0.375
P349 POS    40.731084872  -122.319354053      275382.500   0.732   0.630   2.668
P349 VEL          -6.176         -19.579           5.138   0.290   0.240   1.054
P350 POS    43.532755795  -114.862841343     2388351.054   0.463   0.363   1.486
P350 VEL         -10.083         -16.078          -0.602   0.073   0.057   0.234
P351 POS    43.874413606  -114.719165151     2692596.322   0.600   0.451   1.780
P351 VEL         -10.132         -15.891          -0.324   0.121   0.090   0.359
P352 POS    43.849057977  -114.096077728     2474666.419   0.585   0.457   1.804
P352 VEL         -10.108         -16.191           0.367   0.135   0.104   0.416
P353 POS    44.054537476  -113.978803687     2041005.042   0.455   0.338   1.335
P353 VEL          -9.935         -16.028           0.297   0.113   0.083   0.329
P354 POS    44.108510230  -113.978942997     2000288.254   0.447   0.339   1.334
P354 VEL          -9.796         -15.808           0.194   0.084   0.063   0.250
P355 POS    44.217920205  -113.722089493     2329214.323   0.486   0.371   1.468
P355 VEL          -9.505         -15.394           0.228   0.118   0.089   0.353
P356 POS    43.816635988  -110.489113840     2227723.357   0.763   0.564   2.600
P356 VEL          -8.773         -15.832          -1.587   0.152   0.111   0.517
P357 POS    44.227104232  -113.581893867     2295342.071   0.465   0.357   1.438
P357 VEL          -9.573         -15.433           0.297   0.113   0.085   0.344
P358 POS    44.401896129  -113.240666882     2419379.643   0.567   0.430   1.649
P358 VEL          -8.959         -14.681           0.113   0.160   0.120   0.465
P359 POS    43.482489334  -111.529502707     2116442.710   0.494   0.369   1.430
P359 VEL         -10.249         -16.526          -1.163   0.176   0.130   0.509
P360 POS    44.317850328  -111.450680220     1857838.969   1.473   1.108   4.289
P360 VEL         -10.748         -16.687          -1.732   0.133   0.098   0.385
P361 POS    44.560346828  -111.439691797     2930919.824   0.721   0.548   2.115
P361 VEL         -10.651         -16.467           1.599   0.169   0.127   0.493
P362 POS    42.209103579  -124.225790109     1012406.939   0.582   0.459   1.801
P362 VEL          -2.161         -10.633           0.842   0.172   0.134   0.532
P363 POS    42.860063294  -124.054050175       70388.034   1.249   0.966   4.015
P363 VEL          -3.260         -11.118          -0.676   0.264   0.202   0.848
P364 POS    43.090327698  -124.409291221        6453.441   0.461   0.350   1.381
P364 VEL          -0.985          -6.932           1.948   0.128   0.095   0.388
P365 POS    43.395517998  -124.253483847       27097.492   0.460   0.345   1.349
P365 VEL          -2.027          -8.440           0.086   0.122   0.090   0.359
P366 POS    43.614310288  -123.979595190      529095.384   0.883   0.657   2.627
P366 VEL          -2.134          -8.100          -1.185   0.396   0.295   1.209
P367 POS    44.585245948  -124.061572053       22919.479   0.596   0.445   1.727
P367 VEL          -3.097          -5.639          -0.576   0.073   0.054   0.212
P368 POS    42.503524064  -123.383422263      319444.259   0.521   0.397   1.569
P368 VEL          -3.646         -13.556           0.191   0.201   0.152   0.607
P369 POS    43.140104401  -123.429461820      190034.495   0.460   0.356   1.585
P369 VEL          -4.557         -12.406           0.065   0.090   0.067   0.302
P370 POS    42.190986422  -122.656373694      555043.863   0.427   0.325   1.307
P370 VEL          -5.346         -15.056          -0.448   0.052   0.040   0.160
P371 POS    43.363273010  -123.057901247     1198057.304   0.718   0.557   2.225
P371 VEL          -5.218         -12.361          -0.420   0.103   0.078   0.322
P372 POS    45.428136497  -117.251659698     1208307.983   0.473   0.349   1.396
P372 VEL          -9.966         -13.793          -0.140   0.099   0.072   0.291
P373 POS    43.622518521  -123.333276370      169917.400   0.780   0.591   2.341
P373 VEL          -5.131         -11.550          -0.362   0.077   0.058   0.233
P374 POS    44.381925250  -123.590641655       73218.030   0.495   0.362   1.508
P374 VEL          -4.261          -8.796           0.269   0.161   0.115   0.496
P375 POS    44.689253966  -123.426988177       99215.194   0.457   0.340   1.336
P375 VEL          -4.776          -8.551           1.022   0.117   0.085   0.346
P376 POS    44.941202177  -123.102267902      180866.252   0.792   0.579   2.324
P376 VEL          -5.286          -9.093          -0.165   0.059   0.044   0.177
P377 POS    44.052117991  -122.887059847      142398.153   0.843   0.619   2.517
P377 VEL          -6.315         -10.942          -0.492   0.073   0.053   0.219
P378 POS    44.534981748  -122.930883087       83122.025   0.678   0.504   1.977
P378 VEL          -6.063          -9.852          -0.070   0.074   0.054   0.217
P379 POS    44.496504006  -122.577045662     1221757.714   1.160   0.845   3.365
P379 VEL          -6.617         -10.520          -0.765   0.118   0.087   0.343
P380 POS    42.259669613  -121.779699950     1390811.877   0.574   0.447   1.726
P380 VEL          -6.388         -15.448          -0.470   0.205   0.158   0.620
P381 POS    43.001775748  -119.951805434     1567454.394   0.437   0.325   1.280
P381 VEL          -8.497         -14.507          -0.239   0.115   0.084   0.337
P382 POS    43.177055924  -121.769575893     1453227.949   0.517   0.435   2.104
P382 VEL          -7.166         -14.118          -0.454   0.144   0.121   0.582
P383 POS    44.342183748  -122.217222164     1295578.291   0.494   0.368   1.419
P383 VEL          -7.063         -11.435          -1.060   0.078   0.058   0.226
P384 POS    44.841129903  -122.482819930     1182567.771   0.520   0.385   1.509
P384 VEL          -6.124         -10.091          -0.993   0.138   0.101   0.402
P385 POS    44.434847492  -121.945835808     1120806.470   0.479   0.343   1.413
P385 VEL          -7.421         -11.597          -0.716   0.135   0.094   0.401
P386 POS    44.402826669  -118.967819391     1103501.404   0.459   0.341   1.340
P386 VEL          -9.576         -14.194           0.118   0.102   0.074   0.298
P387 POS    44.296755170  -121.574478946      962599.687   0.462   0.353   1.398
P387 VEL          -8.067         -12.128          -1.492   0.115   0.086   0.351
P388 POS    42.468778773  -120.377612962     1405738.566   0.643   0.487   1.919
P388 VEL          -7.832         -15.984          -0.441   0.060   0.045   0.183
P389 POS    43.811991464  -120.603363222     1397435.037   0.439   0.331   1.293
P389 VEL          -8.514         -13.914          -0.095   0.111   0.082   0.328
P390 POS    43.034006817  -118.928491806     1554845.272   0.548   0.421   1.654
P390 VEL          -9.119         -15.247           0.474   0.166   0.127   0.509
P391 POS    42.254628281  -118.412475693     1834232.355   0.559   0.427   1.646
P391 VEL          -9.197         -15.833           0.218   0.138   0.103   0.408
P392 POS    43.446757886  -119.001002967     1315518.246   0.695   0.528   2.061
P392 VEL          -9.899         -15.584          -1.444   0.209   0.156   0.618
P393 POS    43.234494442  -117.892040564     1238306.268   0.611   0.462   1.793
P393 VEL          -9.669         -15.158           0.280   0.180   0.134   0.529
P394 POS    44.834880015  -117.799640102     1010692.903   0.526   0.389   1.516
P394 VEL          -9.812         -13.939          -0.839   0.153   0.111   0.439
P395 POS    45.022278797  -123.857528153       53038.854   0.532   0.351   1.616
P395 VEL          -3.348          -5.815           0.151   0.105   0.068   0.329
P396 POS    45.309512911  -123.822896635       54568.466   0.762   0.541   2.560
P396 VEL          -3.329          -6.108           0.306   0.094   0.066   0.306
P397 POS    46.421618675  -123.799161570      566310.503   0.840   0.589   2.507
P397 VEL          -3.888          -2.616          -1.743   0.572   0.397   1.699
P398 POS    46.925784270  -123.916145433       23510.999   0.524   0.374   1.536
P398 VEL          -4.022          -3.205           0.925   0.088   0.063   0.253
P399 POS    47.433919058  -123.612961844      919438.067   0.680   0.501   1.971
P399 VEL          -6.209          -5.038           1.571   0.094   0.069   0.272
P400 POS    47.513347827  -123.812451481       65020.345   0.727   0.875   3.406
P400 VEL          -5.917          -3.866           0.662   0.124   0.145   0.573
P401 POS    47.937187397  -124.557019215       36216.881   0.847   0.609   2.401
P401 VEL          -2.860           1.472           0.720   0.107   0.075   0.302
P402 POS    47.766220835  -124.305897563       23743.795   1.146   0.804   3.243
P402 VEL          -2.971           0.263           1.534   0.178   0.126   0.515
P403 POS    48.062321345  -124.140875820      284699.091   0.809   0.609   2.700
P403 VEL          -4.937          -3.935           1.861   0.163   0.116   0.506
P404 POS    45.158533296  -123.390329335       79036.237   1.219   0.935   3.731
P404 VEL          -4.766          -8.215          -0.350   0.055   0.041   0.165
P405 POS    45.629326515  -123.643758304      955659.938   0.696   0.511   1.971
P405 VEL          -4.219          -6.285          -1.307   0.191   0.139   0.546
P406 POS    45.190371754  -123.152258222       27279.783   0.469   0.348   1.367
P406 VEL          -5.153          -8.473          -0.154   0.133   0.097   0.392
P407 POS    45.954648889  -123.931006407      -13093.426   0.612   0.477   2.090
P407 VEL          -4.111          -1.722           0.833   0.085   0.067   0.291
P408 POS    46.200501193  -123.376587925       35278.268   1.357   1.017   4.062
P408 VEL          -5.341          -7.511          -0.687   0.091   0.067   0.272
P409 POS    45.851293023  -123.239478940      177291.829   0.437   0.320   1.313
P409 VEL          -5.302          -7.969          -0.525   0.053   0.039   0.159
P410 POS    46.111141071  -123.078606913      173121.517   0.529   0.401   1.580
P410 VEL          -5.210          -8.246          -0.711   0.201   0.149   0.599
P411 POS    45.537992202  -123.157418567       83393.321   0.625   0.454   1.929
P411 VEL          -5.650          -8.434          -0.375   0.094   0.067   0.294
P412 POS    45.221105103  -122.589102887       53201.776   0.538   0.393   1.564
P412 VEL          -6.140          -9.226          -0.783   0.213   0.155   0.625
P413 POS    48.426510712  -120.149586027      501260.918   0.482   0.344   1.380
P413 VEL         -10.193         -12.196          -0.542   0.075   0.053   0.216
P414 POS    45.834867803  -122.692839056       63840.680   0.473   0.347   1.369
P414 VEL          -6.179          -8.557          -0.225   0.150   0.109   0.435
P415 POS    46.655990195  -123.729866860      -15403.691   0.539   0.397   1.639
P415 VEL          -4.635          -6.196           0.310   0.201   0.144   0.596
P416 POS    47.039941203  -121.596930105     1576515.048   0.493   0.353   1.415
P416 VEL          -8.564         -10.771          -0.824   0.085   0.060   0.243
P417 POS    46.574737217  -123.297931166      102473.765   0.487   0.343   1.410
P417 VEL          -5.996          -7.934          -0.571   0.110   0.077   0.319
P418 POS    47.236644388  -123.407814684      115148.239   0.707   0.524   2.057
P418 VEL          -6.316          -6.614          -0.017   0.067   0.049   0.195
P419 POS    47.409297910  -123.366527523      935978.653   0.829   0.600   2.325
P419 VEL          -6.816          -6.479           0.509   0.120   0.086   0.337
P420 POS    46.588601284  -122.866333344       74098.651   0.461   0.336   1.310
P420 VEL          -6.641          -8.953          -1.298   0.080   0.058   0.229
P421 POS    46.531855243  -122.429230740      220573.918   0.539   0.388   1.651
P421 VEL          -6.884          -9.410          -0.890   0.091   0.066   0.281
P422 POS    46.797864555  -116.979685885      843716.273   0.470   0.348   1.381
P422 VEL         -10.210         -13.549          -0.160   0.096   0.069   0.279
P423 POS    47.287902667  -122.941211622       39958.004   0.587   0.454   2.095
P423 VEL          -6.965          -8.451          -0.686   0.124   0.094   0.431
P424 POS    47.823182945  -122.874713936       -1578.168   0.511   0.367   1.462
P424 VEL          -8.167          -7.903           0.121   0.096   0.069   0.277
P425 POS    46.452693161  -122.845400455       64255.375   0.728   0.551   2.192
P425 VEL          -6.406          -8.455          -0.800   0.166   0.123   0.501
P426 POS    47.802723833  -122.514586943        3319.297   0.657   0.465   2.230
P426 VEL          -8.283          -8.702          -1.495   0.097   0.067   0.311
P427 POS    45.430177891  -122.340632864      149191.212   0.469   0.352   1.396
P427 VEL          -6.707          -9.742          -1.245   0.149   0.110   0.448
P429 POS    45.676126972  -121.877361932       25547.834   0.465   0.336   1.403
P429 VEL          -7.346         -10.833          -1.739   0.111   0.080   0.336
P430 POS    47.003843483  -123.436223471       -4407.756   0.661   0.479   1.954
P430 VEL          -5.987          -6.794          -0.652   0.072   0.051   0.210
P431 POS    46.572080643  -121.988454630     1422703.964   0.490   0.354   1.383
P431 VEL          -7.490          -9.979          -1.265   0.084   0.060   0.237
P432 POS    46.622854789  -121.683231672      318870.984   0.517   0.361   1.598
P432 VEL          -8.271         -10.717          -0.937   0.112   0.079   0.340
P433 POS    44.532521182  -119.872013891     1158676.164   0.913   0.664   2.792
P433 VEL          -9.223         -13.808          -0.578   0.115   0.083   0.352
P434 POS    47.740201504  -121.075610674     1698027.045   0.512   0.379   1.478
P434 VEL          -9.379         -11.423          -1.294   0.135   0.098   0.386
P435 POS    48.059548195  -123.503279921      287332.790   0.703   0.427   2.172
P435 VEL          -7.392          -6.650          -0.061   0.116   0.070   0.358
P436 POS    48.045301605  -123.134349581      190892.225   0.532   0.379   1.755
P436 VEL          -7.893          -7.927           0.245   0.066   0.046   0.214
P437 POS    48.001808475  -122.459159117       12457.507   0.799   0.599   2.405
P437 VEL          -8.661          -9.321          -1.566   0.163   0.119   0.487
P438 POS    48.419146843  -122.670264600       -9904.077   0.819   0.585   2.311
P438 VEL          -8.950          -8.884          -0.497   0.131   0.093   0.370
P439 POS    48.708191469  -122.909305180      -13863.785   0.444   0.317   1.276
P439 VEL          -8.835          -8.973          -0.102   0.055   0.039   0.158
P440 POS    48.856192250  -122.493342994        6354.306   0.552   0.394   1.603
P440 VEL          -9.100          -9.879          -1.120   0.164   0.115   0.477
P441 POS    48.915977719  -122.139643817      115203.255   0.570   0.433   1.802
P441 VEL          -9.855         -10.443           0.232   0.092   0.069   0.289
P442 POS    48.260478986  -121.615551666      146884.785   0.587   0.454   1.760
P442 VEL          -9.478         -10.972          -1.231   0.165   0.124   0.486
P443 POS    48.509646734  -121.285558750     1062114.516   1.245   0.889   3.658
P443 VEL          -9.768         -11.318           0.052   0.094   0.065   0.264
P444 POS    48.730218149  -121.067549880      493876.898   0.775   0.578   2.274
P444 VEL          -9.731         -11.559          -0.731   0.155   0.119   0.453
P445 POS    45.590122071  -120.672248239      436060.300   0.475   0.346   1.390
P445 VEL          -8.943         -12.424          -1.453   0.128   0.091   0.376
P446 POS    46.115661555  -122.892789312      -16460.195   1.007   0.721   2.903
P446 VEL          -6.045          -8.272          -0.430   0.168   0.120   0.495
P447 POS    45.452820237  -119.690126756      471228.177   0.482   0.353   1.397
P447 VEL          -9.636         -13.124          -0.620   0.155   0.113   0.454
P448 POS    45.910577471  -120.005202431      261422.001   0.444   0.322   1.309
P448 VEL          -9.599         -12.554          -2.654   0.103   0.073   0.303
P449 POS    46.259791244  -119.630998833      208424.763   0.496   0.361   1.449
P449 VEL          -9.538         -12.713          -2.026   0.102   0.073   0.297
P450 POS    45.953333967  -119.544196483      163666.533   0.440   0.318   1.263
P450 VEL          -9.372         -12.948          -1.541   0.053   0.038   0.152
P451 POS    46.792785536  -119.041363700      351433.360   0.469   0.336   1.343
P451 VEL          -9.939         -12.970          -0.855   0.075   0.053   0.213
P452 POS    47.403547833  -119.487284498      323046.907   0.508   0.377   1.626
P452 VEL         -10.158         -12.792          -0.655   0.104   0.075   0.333
P453 POS    47.759131765  -118.745458822      644219.511   0.829   0.598   2.407
P453 VEL         -10.294         -13.129          -0.576   0.078   0.055   0.223
P454 POS    47.953814809  -118.992580590      478941.950   0.447   0.324   1.265
P454 VEL         -10.280         -12.960          -0.308   0.076   0.055   0.215
P455 POS    44.485567045  -112.728551310     2593923.867   1.146   0.857   3.474
P455 VEL          -9.763         -15.323          -1.147   0.185   0.138   0.562
P456 POS    44.863485953  -111.225109651     2956314.849   0.485   0.362   1.383
P456 VEL          -7.269         -14.078           1.451   0.102   0.076   0.292
P457 POS    45.041226875  -111.272635361     2261921.550   0.604   0.452   1.759
P457 VEL          -7.189         -15.172           0.743   0.218   0.162   0.631
P458 POS    44.765686604  -111.301512571     2393899.042   0.651   0.486   1.916
P458 VEL          -9.828         -15.206           2.153   0.082   0.061   0.241
P459 POS    43.748327759  -110.745812655     2135657.991   0.830   0.812   4.129
P459 VEL          -9.904         -15.845          -2.123   0.166   0.162   0.824
P460 POS    45.139985072  -111.028596645     2197817.039   0.530   0.399   1.572
P460 VEL          -7.801         -14.220          -0.125   0.134   0.099   0.396
P461 POS    45.354249095  -110.758685953     1544071.398   0.682   0.503   1.949
P461 VEL          -8.062         -14.343          -1.254   0.116   0.084   0.332
P462 POS    36.071315616  -116.628710191     1334391.584   0.820   0.671   2.922
P462 VEL          -7.495         -15.118          -1.006   0.139   0.112   0.496
P463 POS    36.022464541  -117.164674942     1326996.437   0.872   0.752   3.011
P463 VEL          -5.054         -17.163          -1.000   0.130   0.111   0.451
P464 POS    36.159044258  -117.410003087      911533.654   0.875   0.733   3.018
P464 VEL          -4.585         -17.918           0.207   0.171   0.141   0.599
P465 POS    36.466833547  -118.132435919     2901538.562   0.899   0.728   2.869
P465 VEL          -1.015         -21.362           0.014   0.201   0.160   0.637
P466 POS    36.531248414  -117.789463393     2754578.110   0.758   0.619   2.375
P466 VEL          -5.041         -18.398           0.312   0.141   0.114   0.449
P467 POS    36.570201487  -118.090625830     1380115.182   0.789   0.695   2.939
P467 VEL          -2.597         -19.768           1.088   0.142   0.124   0.533
P468 POS    36.975681554  -118.118365363     2853305.889   0.773   0.629   2.419
P468 VEL          -4.677         -18.619           1.028   0.135   0.108   0.423
P469 POS    37.231424142  -117.935812210     1794829.095   0.836   0.708   2.823
P469 VEL          -6.446         -17.594           0.862   0.142   0.117   0.459
P470 POS    34.462405073  -117.393892257      991382.473   0.787   0.679   2.739
P470 VEL           4.890         -25.011           0.166   0.143   0.122   0.496
P471 POS    33.562126337  -117.540869846      174746.986   0.735   0.630   2.466
P471 VEL          17.204         -36.856          -0.144   0.225   0.190   0.766
P472 POS    32.889210557  -117.104699618      137826.181   0.894   0.780   2.999
P472 VEL          17.542         -39.902          -1.267   0.097   0.084   0.330
P473 POS    32.733777458  -116.949519899      188543.614   0.748   0.648   2.497
P473 VEL          17.810         -40.126          -1.731   0.128   0.109   0.426
P474 POS    33.355194192  -117.248696227      182897.788   0.803   0.693   2.728
P474 VEL          16.581         -38.195          -0.326   0.132   0.113   0.448
P475 POS    32.666397192  -117.243939662      -25066.180   0.599   0.539   2.189
P475 VEL          19.074         -41.087          -1.341   0.165   0.147   0.608
P476 POS    33.439650361  -117.189680837      309732.293   0.630   0.540   2.097
P476 VEL          15.986         -37.444          -0.652   0.092   0.077   0.304
P477 POS    33.502802201  -117.113375865      334444.454   0.609   0.529   2.087
P477 VEL          15.744         -35.724          -4.702   0.138   0.117   0.467
P478 POS    33.235716288  -117.071594886      371558.170   2.337   2.029   8.120
P478 VEL          16.729         -38.320          -1.874   0.111   0.097   0.396
P479 POS    33.493318580  -116.782933808     1093819.864   0.602   0.519   2.017
P479 VEL          12.983         -34.653           0.585   0.136   0.115   0.454
P480 POS    32.975996889  -116.348539810      436021.775   0.427   0.369   1.476
P480 VEL          15.498         -38.299          -0.645   0.117   0.100   0.403
P481 POS    32.822239956  -116.010795191      610886.760   0.602   0.530   2.123
P481 VEL          14.222         -36.845           0.520   0.139   0.120   0.481
P482 POS    33.240180275  -116.671416649      878697.591   0.642   0.561   2.244
P482 VEL          14.799         -37.235          -0.447   0.175   0.150   0.614
P483 POS    33.059165025  -116.569329630     1375535.068   0.587   0.511   1.977
P483 VEL          15.987         -38.552          -1.326   0.204   0.175   0.685
P484 POS    33.375593296  -116.620841684     1382468.409   0.636   0.550   2.225
P484 VEL          12.900         -35.325          -0.493   0.211   0.180   0.733
P485 POS    33.210212670  -116.409043023      372136.470   0.515   0.443   1.894
P485 VEL          13.545         -36.316          -1.261   0.131   0.111   0.481
P486 POS    33.260192108  -116.322289813      126249.670   0.469   0.403   1.613
P486 VEL          12.295         -34.449          -3.386   0.142   0.121   0.488
P487 POS    33.213531952  -116.183076160       90233.383   0.640   0.555   2.173
